Data;Precipitacao;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
01/01/1990;15.5;22.24;88;1.766667;
02/01/1990;35.9;21.2;89.75;2.333333;
03/01/1990;16.3;19;89;3.366667;
04/01/1990;5.2;19.58;92.5;1.666667;
05/01/1990;11.9;21.62;86.25;1;
06/01/1990;9.4;22.98;85.5;1.533333;
07/01/1990;15.7;23.64;78.5;1.433333;
08/01/1990;5.9;24.06;70;3;
09/01/1990;0;21.98;86.5;0.933333;
10/01/1990;9.3;22.54;79.75;1.2;
11/01/1990;4.7;23.74;72.75;3.3;
12/01/1990;2.7;24.84;72.25;2.566667;
13/01/1990;10.7;25.28;68.25;1;
14/01/1990;0;26.16;64.75;1.333333;
15/01/1990;0.9;24.38;82.25;4.066667;
16/01/1990;30.5;25.16;64.5;1.433333;
17/01/1990;0;26.66;59;1.866667;
18/01/1990;0;26.68;66.5;3.066667;
19/01/1990;0;22.92;80;1.9;
20/01/1990;0.3;24.92;63.75;1.566667;
21/01/1990;0;23.32;86.75;2.366667;
22/01/1990;26.7;21.64;80.75;1.366667;
23/01/1990;76.9;22.92;77.75;1.366667;
24/01/1990;0;25.92;59.25;1.266667;
25/01/1990;0;25.32;71.25;1.966667;
26/01/1990;2.2;24.52;70.5;1.633333;
27/01/1990;0;24.32;73.5;2;
28/01/1990;0;24.4;67.75;1.733333;
29/01/1990;0;25.36;61;2.266667;
30/01/1990;0;26.2;59.75;1.6;
31/01/1990;0;25.36;60;1.6;
01/02/1990;0;23.64;77.5;2.466667;
02/02/1990;9.2;23.54;58;3.366667;
03/02/1990;0;23.34;67;2.966667;
04/02/1990;0;22.58;72.75;3.3;
05/02/1990;0;22.8;65.75;2.3;
06/02/1990;0;22.64;78.25;2.833333;
07/02/1990;5;23.84;50.25;1.566667;
08/02/1990;0;24.8;65.25;1.4;
09/02/1990;2.2;25.32;65.75;1.933333;
10/02/1990;0;23.04;88.25;0.8;
11/02/1990;33.3;23.52;76.75;1.5;
12/02/1990;3.2;23.58;80.75;2.7;
13/02/1990;5;23.58;79.75;2.233333;
14/02/1990;16.1;23.5;79.5;2.733333;
15/02/1990;7.3;23.5;81.75;2.7;
16/02/1990;21;24.08;71;2.966667;
17/02/1990;0;24.08;66.75;3.733333;
18/02/1990;0;23.1;71.25;3.333333;
19/02/1990;0;21.48;71.75;2.066667;
20/02/1990;0;21.46;73.75;3.066667;
21/02/1990;0;24.36;61.25;1.366667;
22/02/1990;0;22.8;83.25;2.766667;
23/02/1990;27.4;21.28;86.25;2.866667;
24/02/1990;8.6;22.72;73.25;2.9;
25/02/1990;4.4;21.64;82;1.9;
26/02/1990;0.1;23.6;70.25;3.3;
27/02/1990;0;21.98;78;4.033333;
28/02/1990;10;20.52;88.75;2.3;
01/03/1990;7.6;22.96;73.75;1.666667;
02/03/1990;0;22.52;78.75;0.533333;
03/03/1990;7.6;22.32;78.25;2.466667;
04/03/1990;0;22.5;78;2.766667;
05/03/1990;22.2;24.4;67.25;0.966667;
06/03/1990;14.1;22.04;77.25;2.366667;
07/03/1990;3.3;22.72;79;1.6;
08/03/1990;0;22.92;80.5;2.033333;
09/03/1990;11;23.08;76.25;1.4;
10/03/1990;0.1;23;74.75;3.2;
11/03/1990;20.6;22.9;80.5;2.6;
12/03/1990;12.5;24.56;70;1.133333;
13/03/1990;0;25.24;72.5;1.566667;
14/03/1990;12.1;25.84;63;2.066667;
15/03/1990;0;26.64;69;0.5;
16/03/1990;0;25.4;72.25;1.366667;
17/03/1990;0.3;24.2;76.25;1.933333;
18/03/1990;0;24.32;72;2.333333;
19/03/1990;46.5;21.56;88;2.466667;
20/03/1990;7.3;20.98;86.25;2;
21/03/1990;1.7;21.64;88.25;2.3;
22/03/1990;47.9;21.2;88.25;2.366667;
23/03/1990;6.6;20.76;90.5;2.533333;
24/03/1990;6;22.78;77.5;3.133333;
25/03/1990;0;22.56;77.75;2.2;
26/03/1990;0;22.32;85;2.333333;
27/03/1990;1.4;22.68;75.25;2.366667;
